enrollment_key,learner_key,course_key,term_key,program_key,is_course_passed,letter_grade,final_score,is_withdrawn,attendance_rate
500111,10020,12,6,5,FALSE,D,55.2,FALSE,0.85
500112,10021,11,9,5,TRUE,A,95.1,FALSE,0.75
500113,10021,10,9,5,FALSE,F,48.2,FALSE,0.98
500114,10021,12,9,5,TRUE,A,95.3,FALSE,0.73
500115,10021,9,10,5,TRUE,B,76.9,FALSE,0.8
500116,10022,11,7,5,TRUE,B,81.6,FALSE,0.61
500117,10022,12,7,5,TRUE,B,78.5,FALSE,0.85
500118,10022,10,8,5,TRUE,A,90.7,FALSE,0.86
500119,10022,9,8,5,TRUE,A,88.9,FALSE,0.8
500120,10023,15,6,3,TRUE,A,98.4,FALSE,0.86
500121,10023,16,6,3,TRUE,C,83.5,FALSE,0.57
500122,10023,14,6,3,TRUE,B,77.6,FALSE,0.75
500123,10024,5,9,1,FALSE,D,56.6,FALSE,0.7
500124,10024,12,9,1,TRUE,B,90.6,FALSE,0.97
500125,10024,3,9,1,TRUE,B,75.7,FALSE,0.57
500126,10024,1,10,1,TRUE,A,96.9,FALSE,0.6
500127,10024,10,10,1,TRUE,C,82.5,FALSE,0.9
500128,10024,8,10,1,TRUE,B,89.0,FALSE,0.97
500129,10024,7,11,1,,,,FALSE,0.62
500130,10024,13,11,1,TRUE,A,97.9,FALSE,0.8
500131,10024,6,11,1,TRUE,B,92.6,FALSE,0.88
500132,10025,12,6,5,TRUE,B,85.6,FALSE,0.64
500133,10025,10,6,5,TRUE,B,96.9,FALSE,0.66
500134,10025,11,6,5,TRUE,B,83.7,FALSE,0.69
500135,10025,9,7,5,TRUE,B,91.6,FALSE,0.88
500136,10026,16,8,4,TRUE,B,76.8,FALSE,0.84
500137,10026,14,8,4,TRUE,B,85.8,FALSE,0.65
500138,10026,15,8,4,TRUE,B,98.7,FALSE,0.66
500139,10026,8,9,4,TRUE,C,91.2,FALSE,0.61
500140,10027,7,7,2,TRUE,A,96.2,FALSE,0.95
500141,10027,11,7,2,TRUE,A,75.4,FALSE,0.74
500142,10027,2,7,2,TRUE,B,92.1,FALSE,0.88
500143,10027,4,8,2,FALSE,D,48.9,FALSE,0.56
500144,10027,8,8,2,TRUE,B,76.8,FALSE,0.94
500145,10027,1,8,2,TRUE,B,96.7,FALSE,0.61
500146,10027,3,9,2,TRUE,B,80.8,FALSE,0.6
500147,10027,6,9,2,TRUE,B,96.6,FALSE,0.82
500148,10027,12,9,2,FALSE,F,67.1,FALSE,0.88
500149,10027,5,10,2,TRUE,B,85.8,FALSE,0.83
500150,10028,2,2,1,TRUE,B,91.2,FALSE,0.72
500151,10028,10,2,1,TRUE,B,87.2,FALSE,0.68
500152,10028,4,2,1,TRUE,B,80.6,FALSE,0.7
500153,10028,1,3,1,TRUE,B,96.5,FALSE,0.78
500154,10028,13,3,1,TRUE,B,81.8,FALSE,0.69
500155,10028,11,3,1,TRUE,C,78.4,FALSE,0.95
500156,10028,6,4,1,TRUE,B,85.3,FALSE,0.81
500157,10028,9,4,1,TRUE,B,77.4,FALSE,0.62
500158,10028,3,4,1,TRUE,A,86.7,FALSE,0.95
500159,10028,8,5,1,TRUE,B,97.0,FALSE,0.89
500160,10028,5,5,1,TRUE,A,91.0,FALSE,0.59
500161,10028,7,5,1,TRUE,A,87.2,FALSE,0.56
500162,10028,12,6,1,TRUE,B,98.0,FALSE,0.79
500163,10029,2,4,1,TRUE,C,77.6,FALSE,0.96
500164,10029,10,4,1,TRUE,B,96.3,FALSE,0.67
500165,10029,7,4,1,TRUE,C,98.8,FALSE,0.85
500166,10029,9,5,1,TRUE,C,94.3,FALSE,0.91
500167,10029,11,5,1,TRUE,B,82.9,FALSE,0.7
500168,10029,5,5,1,TRUE,C,92.7,FALSE,0.9
500169,10029,3,6,1,TRUE,A,82.6,FALSE,0.75
500170,10029,13,6,1,TRUE,B,94.1,FALSE,0.64
500171,10029,6,6,1,TRUE,C,95.1,FALSE,0.57
500172,10029,12,7,1,TRUE,A,75.2,FALSE,0.81
500173,10029,8,7,1,TRUE,A,80.3,FALSE,0.67
500174,10029,1,7,1,TRUE,C,94.5,FALSE,0.77
500175,10030,10,4,6,TRUE,A,93.0,FALSE,0.75
500176,10030,16,4,6,TRUE,C,89.7,FALSE,0.63
500177,10030,14,5,6,TRUE,B,81.3,FALSE,0.83
500178,10030,15,5,6,TRUE,B,83.4,FALSE,0.85
500179,10031,1,1,1,TRUE,B,77.7,FALSE,0.74
500180,10031,2,1,1,TRUE,B,80.9,FALSE,0.6
500181,10031,10,2,1,TRUE,A,82.7,FALSE,0.71
500182,10031,13,2,1,TRUE,B,78.1,FALSE,0.93
500183,10031,11,3,1,TRUE,C,89.4,FALSE,0.66
500184,10031,6,3,1,TRUE,B,87.2,FALSE,0.58
500185,10032,14,9,6,TRUE,B,85.6,FALSE,0.67
500186,10032,10,9,6,TRUE,A,86.7,FALSE,0.7
500187,10032,15,10,6,TRUE,B,82.4,FALSE,0.65
500188,10032,16,10,6,TRUE,C,87.9,FALSE,0.6
500189,10033,5,9,1,TRUE,C,88.3,FALSE,0.57
500190,10033,2,9,1,TRUE,A,87.9,FALSE,0.93
500191,10033,12,10,1,TRUE,B,92.2,FALSE,0.91
500192,10033,7,10,1,TRUE,A,83.0,FALSE,0.8
500193,10033,4,11,1,,,,FALSE,0.89
500194,10033,8,11,1,,,,FALSE,0.57
500195,10034,12,3,5,TRUE,A,91.5,FALSE,0.67
500196,10034,9,3,5,TRUE,C,93.8,FALSE,0.73
500197,10034,10,3,5,TRUE,A,96.0,FALSE,0.58
500198,10034,11,4,5,TRUE,C,91.9,FALSE,0.74
500199,10035,15,4,3,TRUE,A,94.0,FALSE,0.92
500200,10035,16,4,3,TRUE,B,93.8,FALSE,0.78
500201,10035,14,4,3,FALSE,F,55.2,FALSE,0.59
500202,10036,5,9,2,TRUE,B,91.9,FALSE,0.66
500203,10036,11,9,2,FALSE,D,61.1,FALSE,0.98
500204,10036,6,9,2,TRUE,B,92.1,FALSE,0.65
500205,10036,2,10,2,TRUE,A,84.5,FALSE,0.75
500206,10036,1,10,2,TRUE,B,77.6,FALSE,0.7
500207,10036,4,10,2,TRUE,A,98.4,FALSE,0.8
500208,10036,3,11,2,FALSE,F,63.7,FALSE,0.61
500209,10036,7,11,2,,,,FALSE,0.8
500210,10036,8,11,2,TRUE,B,81.0,FALSE,0.88
500211,10037,8,5,1,TRUE,B,80.7,FALSE,0.87
500212,10037,5,5,1,TRUE,C,95.6,FALSE,0.59
500213,10037,9,5,1,TRUE,B,91.8,FALSE,0.61
500214,10037,4,6,1,FALSE,F,61.7,FALSE,0.62
500215,10037,2,6,1,TRUE,A,98.3,FALSE,0.95
500216,10037,11,6,1,TRUE,B,90.0,FALSE,0.77
500217,10037,13,7,1,TRUE,B,88.1,FALSE,0.55
500218,10037,12,7,1,FALSE,D,74.3,FALSE,0.79
500219,10037,7,7,1,TRUE,C,83.9,FALSE,0.62
500220,10038,15,2,6,TRUE,B,83.9,FALSE,0.66
500221,10038,14,2,6,TRUE,C,97.5,FALSE,0.87
500222,10038,10,2,6,TRUE,B,78.2,FALSE,0.87
500223,10038,16,3,6,TRUE,A,82.6,FALSE,0.62
500224,10039,11,4,5,TRUE,B,91.7,FALSE,0.76
500225,10039,10,4,5,TRUE,B,90.0,FALSE,0.62
500226,10039,12,5,5,TRUE,A,88.4,FALSE,0.71
500227,10039,9,5,5,FALSE,D,53.1,FALSE,0.92
500228,10040,14,9,6,TRUE,B,84.7,FALSE,0.8
500229,10040,15,9,6,TRUE,B,79.9,FALSE,0.62
500230,10040,16,9,6,TRUE,B,81.7,FALSE,0.8
500231,10040,10,10,6,TRUE,C,87.5,FALSE,0.89
500232,10041,4,2,1,FALSE,F,52.4,FALSE,0.7
500233,10041,3,2,1,TRUE,B,76.3,FALSE,0.91
500234,10041,9,3,1,TRUE,B,86.3,FALSE,0.78
500235,10041,13,3,1,FALSE,D,62.8,FALSE,0.9
500236,10041,1,4,1,TRUE,B,83.5,FALSE,0.69
500237,10041,7,4,1,FALSE,F,64.0,FALSE,0.98
500238,10041,2,5,1,TRUE,C,95.0,FALSE,0.61
500239,10041,8,5,1,TRUE,C,85.6,FALSE,0.91
500240,10041,5,6,1,TRUE,B,88.4,FALSE,0.84
500241,10041,11,6,1,TRUE,B,95.8,FALSE,0.9
500242,10042,13,6,1,TRUE,B,75.1,FALSE,0.7
500243,10042,5,6,1,TRUE,B,97.0,FALSE,0.96
500244,10042,11,7,1,TRUE,B,75.8,FALSE,0.84
500245,10042,1,7,1,TRUE,C,98.9,FALSE,0.66
500246,10042,2,8,1,TRUE,A,98.3,FALSE,0.94
500247,10042,3,8,1,TRUE,C,98.9,FALSE,0.75
500248,10043,11,1,5,TRUE,C,89.7,FALSE,0.62
500249,10043,9,1,5,TRUE,A,95.9,FALSE,0.59
500250,10043,12,1,5,TRUE,B,77.9,FALSE,0.84
500251,10044,16,5,3,TRUE,A,81.7,FALSE,0.84
500252,10044,15,5,3,TRUE,C,83.0,FALSE,0.93
500253,10044,14,5,3,TRUE,B,92.0,FALSE,0.87
500254,10045,2,6,2,TRUE,A,81.4,FALSE,0.75
500255,10045,3,6,2,TRUE,B,79.8,FALSE,0.73
500256,10045,5,6,2,TRUE,A,95.2,FALSE,0.69
500257,10045,8,7,2,TRUE,B,77.8,FALSE,0.81
500258,10045,7,7,2,TRUE,B,88.6,FALSE,0.59
500259,10045,4,7,2,TRUE,A,79.4,FALSE,0.63
500260,10045,12,8,2,TRUE,A,98.2,FALSE,0.9
500261,10045,1,8,2,TRUE,A,84.0,FALSE,0.94
500262,10045,11,8,2,TRUE,C,82.4,FALSE,0.84
500263,10045,6,9,2,TRUE,C,79.6,FALSE,0.61
500264,10046,12,1,5,TRUE,B,88.6,FALSE,0.65
500265,10046,11,1,5,TRUE,A,96.2,FALSE,0.99
500266,10046,10,1,5,TRUE,A,85.6,FALSE,0.77
500267,10046,9,2,5,TRUE,C,83.4,FALSE,0.79
500268,10047,15,7,3,TRUE,A,89.0,FALSE,0.79
500269,10047,14,7,3,TRUE,B,91.9,FALSE,0.84
500270,10047,16,7,3,TRUE,B,81.9,FALSE,0.86
500271,10048,10,7,5,TRUE,A,81.3,FALSE,0.78
500272,10048,12,7,5,TRUE,B,86.4,FALSE,0.81
500273,10048,9,8,5,TRUE,B,84.1,FALSE,0.96
500274,10048,11,8,5,TRUE,B,77.5,FALSE,0.94
500275,10049,11,4,5,TRUE,A,90.5,FALSE,0.63
500276,10049,10,4,5,TRUE,B,78.9,FALSE,0.63
500277,10049,12,5,5,FALSE,D,69.4,FALSE,0.82
500278,10049,9,5,5,TRUE,B,92.5,FALSE,0.93
500279,10050,9,4,5,TRUE,B,91.3,FALSE,0.57
500280,10050,10,4,5,TRUE,B,80.6,FALSE,0.6
500281,10050,12,5,5,TRUE,B,81.5,FALSE,0.73
500282,10050,11,5,5,FALSE,D,61.5,FALSE,0.95
500283,10051,12,4,5,TRUE,A,93.9,FALSE,0.99
500284,10051,9,4,5,TRUE,B,93.4,FALSE,0.76
500285,10051,11,5,5,TRUE,A,75.0,FALSE,0.64
500286,10051,10,5,5,TRUE,A,82.4,FALSE,0.66
500287,10052,16,5,6,TRUE,B,91.4,FALSE,0.55
500288,10052,14,5,6,TRUE,B,77.4,FALSE,0.86
500289,10052,10,6,6,TRUE,C,96.9,FALSE,0.72
500290,10052,15,6,6,TRUE,A,80.8,FALSE,0.72
500291,10053,10,5,1,TRUE,A,89.1,FALSE,0.95
500292,10053,12,5,1,TRUE,B,80.6,FALSE,0.7
500293,10053,2,6,1,TRUE,B,89.7,FALSE,0.96
500294,10053,1,6,1,TRUE,A,78.3,FALSE,0.57
500295,10053,8,7,1,TRUE,B,77.2,FALSE,0.84
500296,10053,4,7,1,TRUE,B,81.8,FALSE,0.85
500297,10053,9,8,1,TRUE,B,81.3,FALSE,0.63
500298,10053,11,8,1,TRUE,A,87.4,FALSE,0.76
500299,10053,5,9,1,FALSE,F,66.1,FALSE,0.85
500300,10053,13,9,1,TRUE,A,94.4,FALSE,0.69
500301,10053,7,10,1,TRUE,B,84.2,FALSE,0.56
500302,10053,3,10,1,TRUE,B,91.1,FALSE,0.9
500303,10054,9,7,5,TRUE,B,89.5,FALSE,0.78
500304,10054,12,7,5,TRUE,B,92.1,FALSE,0.99
500305,10054,10,7,5,TRUE,B,79.3,FALSE,0.79
500306,10054,11,8,5,TRUE,A,91.2,FALSE,0.55
500307,10055,8,1,4,FALSE,F,55.4,FALSE,0.94
500308,10055,15,1,4,TRUE,B,76.2,FALSE,0.86
500309,10055,14,2,4,TRUE,B,83.1,FALSE,0.9
500310,10055,16,2,4,FALSE,D,55.1,FALSE,0.71
500311,10056,10,6,6,TRUE,B,89.3,FALSE,0.88
500312,10056,16,6,6,TRUE,A,84.5,FALSE,0.59
500313,10056,15,7,6,TRUE,C,92.4,FALSE,0.77
500314,10056,14,7,6,TRUE,B,83.3,FALSE,0.86
500315,10057,16,6,3,TRUE,A,83.9,FALSE,0.82
500316,10057,15,6,3,TRUE,A,94.5,FALSE,0.72
500317,10057,14,6,3,TRUE,C,76.9,FALSE,0.89
500318,10058,16,3,6,TRUE,C,81.2,FALSE,0.88
500319,10058,14,3,6,FALSE,F,72.1,FALSE,0.91
500320,10058,15,3,6,TRUE,B,98.9,FALSE,0.78
500321,10058,10,4,6,TRUE,A,80.9,FALSE,0.72
500322,10059,9,6,1,FALSE,D,53.5,FALSE,0.85
500323,10059,2,6,1,TRUE,C,86.1,FALSE,0.69
500324,10059,11,7,1,TRUE,B,75.4,FALSE,0.65
500325,10059,12,7,1,TRUE,B,92.5,FALSE,0.92
500326,10059,1,8,1,TRUE,B,90.2,FALSE,0.79
500327,10059,6,8,1,TRUE,B,88.4,FALSE,0.7
500328,10060,10,3,6,TRUE,B,87.0,FALSE,0.86
500329,10060,14,3,6,TRUE,A,81.1,FALSE,0.85
500330,10060,15,4,6,TRUE,B,76.9,FALSE,0.8
500331,10060,16,4,6,TRUE,B,80.0,FALSE,0.72
500332,10061,14,4,3,TRUE,B,75.7,FALSE,0.81
500333,10061,16,4,3,TRUE,B,88.6,FALSE,1.0
500334,10061,15,4,3,FALSE,D,73.7,FALSE,1.0
500335,10062,16,2,3,TRUE,A,95.4,FALSE,0.73
500336,10062,14,2,3,TRUE,B,77.7,FALSE,0.63
500337,10062,15,2,3,TRUE,C,93.7,FALSE,0.99
500338,10063,1,7,2,TRUE,C,96.2,FALSE,0.89
500339,10063,5,7,2,TRUE,B,87.9,FALSE,0.65
500340,10063,8,7,2,TRUE,B,93.2,FALSE,0.92
500341,10063,3,8,2,TRUE,A,97.2,FALSE,0.73
500342,10063,4,8,2,FALSE,D,69.9,FALSE,0.85
500343,10063,2,8,2,TRUE,B,77.4,FALSE,0.84
500344,10063,12,9,2,TRUE,C,84.8,FALSE,0.56
500345,10063,6,9,2,TRUE,B,89.6,FALSE,1.0
500346,10063,7,9,2,TRUE,A,92.6,FALSE,0.7
500347,10063,11,10,2,TRUE,B,88.7,FALSE,0.86
500348,10064,13,9,1,TRUE,A,92.1,FALSE,0.7
500349,10064,12,9,1,TRUE,A,96.5,FALSE,0.81
500350,10064,5,10,1,TRUE,B,91.4,FALSE,1.0
500351,10064,3,10,1,TRUE,B,98.3,FALSE,0.84
500352,10065,7,9,2,TRUE,B,95.8,FALSE,0.94
500353,10065,11,9,2,FALSE,D,59.0,FALSE,0.95
500354,10065,8,10,2,TRUE,B,92.2,FALSE,0.84
500355,10065,5,10,2,TRUE,B,75.6,FALSE,0.92
500356,10065,1,11,2,FALSE,F,69.9,FALSE,0.71
500357,10065,4,11,2,,,,FALSE,0.74
500358,10066,11,3,2,TRUE,A,83.2,FALSE,0.91
500359,10066,4,3,2,TRUE,C,77.3,FALSE,0.86
500360,10066,6,3,2,TRUE,A,92.0,FALSE,0.89
500361,10066,1,4,2,TRUE,B,91.5,FALSE,0.9
500362,10066,5,4,2,TRUE,B,88.6,FALSE,0.57
500363,10066,8,4,2,TRUE,A,87.5,FALSE,0.65
500364,10066,7,5,2,TRUE,B,83.7,FALSE,0.69
500365,10066,3,5,2,TRUE,B,88.6,FALSE,0.76
500366,10066,12,5,2,TRUE,C,82.1,FALSE,0.91
500367,10067,8,9,1,TRUE,C,81.2,FALSE,0.78
500368,10067,4,9,1,TRUE,B,87.4,FALSE,0.83
500369,10067,12,9,1,FALSE,F,57.1,FALSE,0.81
500370,10067,9,10,1,TRUE,B,87.6,FALSE,0.94
500371,10067,1,10,1,TRUE,B,79.1,FALSE,0.77
500372,10067,2,10,1,TRUE,C,84.1,FALSE,0.98
500373,10068,13,6,1,TRUE,A,90.3,FALSE,0.93
500374,10068,7,6,1,TRUE,B,93.8,FALSE,0.95
500375,10068,9,6,1,TRUE,A,83.7,FALSE,0.73
500376,10068,2,7,1,TRUE,A,82.9,FALSE,0.67
500377,10068,1,7,1,TRUE,B,95.3,FALSE,0.94
500378,10068,11,7,1,TRUE,B,76.3,FALSE,0.79
500379,10068,8,8,1,TRUE,A,94.1,FALSE,0.86
500380,10068,3,8,1,TRUE,C,80.9,FALSE,0.87
500381,10068,10,8,1,TRUE,B,98.5,FALSE,0.8
500382,10068,12,9,1,FALSE,F,53.0,FALSE,0.96
500383,10068,5,9,1,FALSE,F,56.0,FALSE,0.65
500384,10068,4,9,1,TRUE,B,89.0,FALSE,0.59
500385,10069,16,4,3,TRUE,B,86.5,FALSE,0.59
500386,10069,15,4,3,TRUE,A,88.0,FALSE,0.82
500387,10069,14,5,3,TRUE,B,75.2,FALSE,0.94
500388,10070,6,7,1,TRUE,C,87.3,FALSE,0.68
500389,10070,9,7,1,TRUE,B,81.0,FALSE,0.86
500390,10070,13,8,1,TRUE,A,90.0,FALSE,0.99
500391,10070,7,8,1,TRUE,B,86.7,FALSE,0.95
500392,10070,5,9,1,TRUE,A,86.9,FALSE,0.58
500393,10070,10,9,1,TRUE,B,82.3,FALSE,0.7
500394,10071,10,5,6,TRUE,B,87.0,FALSE,0.89
500395,10071,16,5,6,TRUE,B,91.4,FALSE,0.64
500396,10071,14,5,6,TRUE,A,82.8,FALSE,0.89
500397,10071,15,6,6,TRUE,B,95.5,FALSE,0.85
500398,10072,11,8,1,TRUE,C,83.5,FALSE,0.69
500399,10072,1,8,1,TRUE,B,88.5,FALSE,0.55
500400,10072,12,8,1,TRUE,B,76.3,FALSE,0.71
500401,10072,13,9,1,TRUE,B,98.4,FALSE,0.56
500402,10072,4,9,1,TRUE,C,80.0,FALSE,0.67
500403,10072,3,9,1,TRUE,B,75.6,FALSE,0.91
500404,10072,2,10,1,TRUE,A,88.4,FALSE,0.91
500405,10072,5,10,1,TRUE,B,85.6,FALSE,0.6
500406,10072,7,10,1,TRUE,B,82.8,FALSE,0.97
500407,10073,11,9,5,TRUE,A,92.0,FALSE,0.68
500408,10073,10,9,5,TRUE,A,84.0,FALSE,0.58
500409,10073,9,9,5,TRUE,B,87.9,FALSE,0.97
500410,10073,12,10,5,FALSE,F,51.5,FALSE,0.7
500411,10074,9,8,1,TRUE,B,93.3,FALSE,0.8
500412,10074,4,8,1,TRUE,A,91.5,FALSE,0.9
500413,10074,6,8,1,FALSE,D,68.7,FALSE,0.98
500414,10074,1,9,1,TRUE,C,93.5,FALSE,0.95
500415,10074,11,9,1,TRUE,B,86.2,FALSE,0.71
500416,10074,2,9,1,TRUE,B,98.3,FALSE,0.66
500417,10074,8,10,1,TRUE,A,75.6,FALSE,0.84
500418,10074,5,10,1,TRUE,A,94.3,FALSE,0.92
500419,10074,10,10,1,FALSE,D,74.1,FALSE,0.56
500420,10075,2,7,1,TRUE,A,88.4,FALSE,0.79
500421,10075,4,7,1,TRUE,A,95.3,FALSE,0.81
500422,10075,10,7,1,TRUE,A,90.6,FALSE,0.89
500423,10075,12,8,1,TRUE,B,85.3,FALSE,0.76
500424,10075,13,8,1,TRUE,A,98.9,FALSE,0.84
500425,10075,5,8,1,FALSE,D,65.1,FALSE,0.75
500426,10075,3,9,1,TRUE,B,92.7,FALSE,0.95
500427,10075,8,9,1,TRUE,B,82.1,FALSE,0.92
500428,10075,11,9,1,FALSE,D,53.9,FALSE,0.62
500429,10075,6,10,1,TRUE,B,89.0,FALSE,0.79
500430,10075,9,10,1,TRUE,B,79.8,FALSE,0.97
500431,10075,1,10,1,TRUE,B,92.2,FALSE,0.62
500432,10075,7,11,1,,,,FALSE,0.56
500433,10076,16,1,4,TRUE,A,82.6,FALSE,0.85
500434,10076,15,1,4,TRUE,B,78.9,FALSE,0.65
500435,10076,8,1,4,TRUE,A,93.5,FALSE,0.61
